Lexical Analysis of syntax_file.shs:

Line 1: Lexeme: toptier         Token: TOPTIER
Line 132: Lexeme: decimal         Token: IDENTIFIER
Line 132: Lexeme: =               Token: =
Line 132: Lexeme: 89.70           Token: CONSTANT_DRIFT
Line 132: Lexeme: ;               Token: DELIM_SEMCOL
Line 133: Lexeme: num             Token: NUM            
Line 133: Lexeme: count           Token: IDENTIFIER
Line 133: Lexeme: =               Token: =
Line 133: Lexeme: number          Token: IDENTIFIER
Line 133: Lexeme: ;               Token: DELIM_SEMCOL
Line 134: Lexeme: drift           Token: DRIFT          
Line 134: Lexeme: math_grade      Token: IDENTIFIER
Line 134: Lexeme: ,               Token: DELIM_COMMA
Line 134: Lexeme: science_grade   Token: IDENTIFIER
Line 134: Lexeme: ,               Token: DELIM_COMMA
Line 134: Lexeme: english_grade   Token: IDENTIFIER
Line 134: Lexeme: ;               Token: DELIM_SEMCOL
Line 135: Lexeme: drift           Token: DRIFT          
Line 135: Lexeme: math_grade      Token: IDENTIFIER
Line 135: Lexeme: =               Token: =
Line 135: Lexeme: 97.5            Token: CONSTANT_DRIFT
Line 135: Lexeme: ,               Token: DELIM_COMMA
Line 135: Lexeme: science_grade   Token: IDENTIFIER
Line 135: Lexeme: =               Token: =
Line 135: Lexeme: 95.5            Token: CONSTANT_DRIFT
Line 135: Lexeme: ,               Token: DELIM_COMMA
Line 135: Lexeme: english_grade   Token: IDENTIFIER
Line 135: Lexeme: =               Token: =
Line 135: Lexeme: math_grade      Token: IDENTIFIER
Line 135: Lexeme: ;               Token: DELIM_SEMCOL
Line 137: Lexeme: u               Token: IDENTIFIER
Line 137: Lexeme: ++              Token: ++
Line 137: Lexeme: ;               Token: DELIM_SEMCOL
Line 138: Lexeme: ++              Token: ++
Line 138: Lexeme: u               Token: IDENTIFIER
Line 138: Lexeme: ;               Token: DELIM_SEMCOL
Line 140: Lexeme: if              Token: IF             
Line 140: Lexeme: (               Token: DELIM_O_PAREN
Line 140: Lexeme: win             Token: IDENTIFIER
Line 140: Lexeme: ==              Token: ==
Line 140: Lexeme: nocap           Token: CONSTANT_LEGIT
Line 140: Lexeme: )               Token: DELIM_C_PAREN
Line 140: Lexeme: {               Token: DELIM_O_BRACE
Line 141: Lexeme: out             Token: OUTPUT         
Line 141: Lexeme: (               Token: DELIM_O_PAREN
Line 141: Lexeme: "You won!"      Token: CONSTANT_TEXT
Line 141: Lexeme: )               Token: DELIM_C_PAREN
Line 141: Lexeme: ;               Token: DELIM_SEMCOL
Line 142: Lexeme: }               Token: DELIM_C_BRACE
Line 142: Lexeme: ex              Token: EX             
Line 142: Lexeme: (               Token: DELIM_O_PAREN
Line 142: Lexeme: win             Token: IDENTIFIER
Line 142: Lexeme: ==              Token: ==
Line 142: Lexeme: cap             Token: CONSTANT_LEGIT
Line 142: Lexeme: )               Token: DELIM_C_PAREN
Line 142: Lexeme: {               Token: DELIM_O_BRACE
Line 143: Lexeme: out             Token: OUTPUT         
Line 143: Lexeme: (               Token: DELIM_O_PAREN
Line 143: Lexeme: "You lost!"     Token: CONSTANT_TEXT
Line 143: Lexeme: )               Token: DELIM_C_PAREN
Line 143: Lexeme: ;               Token: DELIM_SEMCOL
Line 144: Lexeme: }               Token: DELIM_C_BRACE
Line 146: Lexeme: if              Token: IF             
Line 146: Lexeme: (               Token: DELIM_O_PAREN
Line 146: Lexeme: test            Token: IDENTIFIER
Line 146: Lexeme: )               Token: DELIM_C_PAREN
Line 146: Lexeme: {               Token: DELIM_O_BRACE
Line 147: Lexeme: test            Token: IDENTIFIER
Line 147: Lexeme: =               Token: =
Line 147: Lexeme: test            Token: IDENTIFIER
Line 147: Lexeme: ;               Token: DELIM_SEMCOL
Line 148: Lexeme: }               Token: DELIM_C_BRACE
Line 148: Lexeme: ex              Token: EX             
Line 148: Lexeme: (               Token: DELIM_O_PAREN
Line 148: Lexeme: test            Token: IDENTIFIER
Line 148: Lexeme: )               Token: DELIM_C_PAREN
Line 148: Lexeme: {               Token: DELIM_O_BRACE
Line 149: Lexeme: test            Token: IDENTIFIER
Line 149: Lexeme: =               Token: =
Line 149: Lexeme: test            Token: IDENTIFIER
Line 149: Lexeme: ;               Token: DELIM_SEMCOL
Line 150: Lexeme: }               Token: DELIM_C_BRACE
Line 150: Lexeme: ex              Token: EX             
Line 150: Lexeme: (               Token: DELIM_O_PAREN
Line 150: Lexeme: test            Token: IDENTIFIER
Line 150: Lexeme: )               Token: DELIM_C_PAREN
Line 150: Lexeme: {               Token: DELIM_O_BRACE
Line 151: Lexeme: test            Token: IDENTIFIER
Line 151: Lexeme: =               Token: =
Line 151: Lexeme: test            Token: IDENTIFIER
Line 151: Lexeme: ;               Token: DELIM_SEMCOL
Line 152: Lexeme: }               Token: DELIM_C_BRACE
Line 152: Lexeme: other           Token: OTHER          
Line 152: Lexeme: {               Token: DELIM_O_BRACE
Line 153: Lexeme: if              Token: IF             
Line 153: Lexeme: (               Token: DELIM_O_PAREN
Line 153: Lexeme: test            Token: IDENTIFIER
Line 153: Lexeme: )               Token: DELIM_C_PAREN
Line 153: Lexeme: {               Token: DELIM_O_BRACE
Line 154: Lexeme: hello           Token: IDENTIFIER
Line 154: Lexeme: ;               Token: DELIM_SEMCOL
Line 155: Lexeme: }               Token: DELIM_C_BRACE
Line 155: Lexeme: other           Token: OTHER          
Line 155: Lexeme: {               Token: DELIM_O_BRACE
Line 156: Lexeme: hello           Token: IDENTIFIER
Line 156: Lexeme: ;               Token: DELIM_SEMCOL
Line 157: Lexeme: }               Token: DELIM_C_BRACE
Line 158: Lexeme: }               Token: DELIM_C_BRACE
Line 160: Lexeme: num             Token: NUM            
Line 160: Lexeme: i               Token: IDENTIFIER
Line 160: Lexeme: ,               Token: DELIM_COMMA
Line 160: Lexeme: j               Token: IDENTIFIER
Line 160: Lexeme: =               Token: =
Line 160: Lexeme: 0               Token: CONSTANT_NUM
Line 160: Lexeme: ,               Token: DELIM_COMMA
Line 160: Lexeme: k               Token: IDENTIFIER
Line 160: Lexeme: =               Token: =
Line 160: Lexeme: 0               Token: CONSTANT_NUM
Line 160: Lexeme: ;               Token: DELIM_SEMCOL
Line 162: Lexeme: !               Token: !
Line 162: Lexeme: (               Token: DELIM_O_PAREN
Line 162: Lexeme: x               Token: IDENTIFIER
Line 162: Lexeme: )               Token: DELIM_C_PAREN
Line 162: Lexeme: ;               Token: DELIM_SEMCOL
Line 163: Lexeme: -               Token: -
Line 163: Lexeme: (               Token: DELIM_O_PAREN
Line 163: Lexeme: x               Token: IDENTIFIER
Line 163: Lexeme: +               Token: +
Line 163: Lexeme: y               Token: IDENTIFIER
Line 163: Lexeme: )               Token: DELIM_C_PAREN
Line 163: Lexeme: ;               Token: DELIM_SEMCOL
Line 165: Lexeme: }               Token: DELIM_C_BRACE
